candidate_id,test_id,anonymous_label,run_1_pass,run_1_critical_error,run_1_error_type,run_1_correctness,run_1_relevance,run_1_completeness,run_1_pedagogical_quality,run_1_grounding_consistency,run_1_overall_score,run_2_pass,run_2_critical_error,run_2_error_type,run_2_correctness,run_2_relevance,run_2_completeness,run_2_pedagogical_quality,run_2_grounding_consistency,run_2_overall_score,run_3_pass,run_3_critical_error,run_3_error_type,run_3_correctness,run_3_relevance,run_3_completeness,run_3_pedagogical_quality,run_3_grounding_consistency,run_3_overall_score,pass_count,majority_pass,unanimous_decision,critical_error_count,any_critical_error,mean_correctness,stdev_correctness,mean_relevance,stdev_relevance,mean_completeness,stdev_completeness,mean_pedagogical_quality,stdev_pedagogical_quality,mean_grounding_consistency,stdev_grounding_consistency,mean_overall_score,stdev_overall_score,system_name,operational_complete,end_to_end_success
T005-B,T005,B,False,False,incomplete_answer,3.0,2.0,3.0,2.0,3.0,2.6,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,False,incomplete_answer,3.0,3.0,3.0,3.0,3.0,3.0,0,False,True,1,True,2.6666666666666665,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.6666666666666665,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.6666666666666665,0.5773502691896257,2.533333333333333,0.5033222956847166,Full Manager,True,False
T005-C,T005,C,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,incomplete_answer,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,3,True,True,0,False,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,Basic Tool Use,True,True
T005-D,T005,D,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T006-A,T006,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T006-B,T006,B,False,True,factual_error,3.0,4.0,4.0,4.0,2.0,3.4,False,False,calculation_error,3.0,5.0,4.0,4.0,4.0,4.0,True,False,none,4.0,5.0,4.0,4.0,4.0,4.2,1,False,False,1,True,3.3333333333333335,0.5773502691896257,4.666666666666667,0.5773502691896257,4.0,0.0,4.0,0.0,3.3333333333333335,1.1547005383792515,3.8666666666666667,0.41633319989322665,Basic Tool Use,True,False
T006-C,T006,C,False,False,none,4.0,3.0,3.0,3.0,4.0,3.4,False,False,incomplete_answer,3.0,3.0,3.0,3.0,3.0,3.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,0,False,True,1,True,3.0,1.0,2.6666666666666665,0.5773502691896257,2.6666666666666665,0.5773502691896257,2.6666666666666665,0.5773502691896257,3.0,1.0,2.8,0.7211102550927978,Manager Without Recovery,True,False
T006-D,T006,D,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,False,none,3.0,3.0,3.0,3.0,3.0,3.0,0,False,True,2,True,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,Full Manager,True,False
T007-A,T007,A,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,0,False,True,3,True,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,Full Manager,True,False
T007-B,T007,B,True,False,none,4.0,5.0,5.0,5.0,4.0,4.6,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,4.0,5.0,5.0,5.0,4.0,4.6,3,True,True,0,False,4.0,0.0,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.0,0.0,4.3999999999999995,0.34641016151377524,Basic Tool Use,True,True
T007-C,T007,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T007-D,T007,D,False,True,irrelevant_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,1.0,1.0,1.0,1.0,1.0,1.0,0,False,True,3,True,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896257,Manager Without Recovery,True,False
T008-A,T008,A,False,True,calculation_error,3.0,3.0,3.0,3.0,3.0,3.0,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,2,True,False,1,True,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,3.6666666666666665,0.5773502691896257,3.6666666666666665,0.5773502691896257,4.333333333333333,1.1547005383792515,4.066666666666666,0.923760430703401,Basic Tool Use,True,True
T008-B,T008,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Full Manager,True,True
T008-C,T008,C,False,True,factual_error,3.0,4.0,4.0,3.0,2.0,3.2,False,True,factual_error,3.0,4.0,4.0,3.0,3.0,3.4,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,1,False,False,2,True,3.3333333333333335,0.5773502691896257,4.0,0.0,4.0,0.0,3.3333333333333335,0.5773502691896257,3.0,1.0,3.533333333333333,0.4163331998932265,Direct LLM,True,False
T008-D,T008,D,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,3,True,True,0,False,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,Manager Without Recovery,True,True
T009-A,T009,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T009-B,T009,B,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,4.0,5.0,5.0,4.8,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,3,True,True,0,False,5.0,0.0,5.0,0.0,4.0,0.0,4.333333333333333,0.5773502691896257,5.0,0.0,4.666666666666666,0.11547005383792526,Manager Without Recovery,True,True
T009-C,T009,C,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,5.0,0.0,4.866666666666666,0.23094010767585052,Basic Tool Use,True,True
T009-D,T009,D,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,False,False,none,3.0,3.0,3.0,3.0,3.0,3.0,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,2,True,False,0,False,4.0,1.0,4.0,1.0,3.6666666666666665,0.5773502691896257,3.6666666666666665,0.5773502691896257,4.0,1.0,3.8666666666666667,0.8082903768654759,Full Manager,True,True
T010-A,T010,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,3,True,True,0,False,5.0,0.0,5.0,0.0,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,5.0,0.0,4.866666666666666,0.23094010767585052,Full Manager,True,True
T010-B,T010,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Basic Tool Use,True,True
T010-C,T010,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T010-D,T010,D,False,False,none,3.0,3.0,3.0,3.0,3.0,3.0,False,False,none,4.0,4.0,3.0,3.0,4.0,3.6,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,1,False,False,0,False,4.0,1.0,4.0,1.0,3.3333333333333335,0.5773502691896257,3.3333333333333335,0.5773502691896257,4.0,1.0,3.7333333333333334,0.8082903768654759,Manager Without Recovery,True,False
T011-A,T011,A,False,True,factual_error,3.0,3.0,4.0,3.0,3.0,3.2,False,True,factual_error,2.0,2.0,3.0,2.0,2.0,2.2,False,True,factual_error,2.0,2.0,3.0,2.0,2.0,2.2,0,False,True,3,True,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,3.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,2.5333333333333337,0.5773502691896257,Direct LLM,True,False
T011-B,T011,B,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,5.0,0.0,4.866666666666666,0.23094010767585052,Full Manager,True,True
T011-C,T011,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Manager Without Recovery,True,True
T011-D,T011,D,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,4.0,5.0,5.0,4.0,4.0,4.4,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,4.333333333333333,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.466666666666667,0.5033222956847166,Basic Tool Use,True,True
T012-A,T012,A,False,True,factual_error,3.0,3.0,4.0,3.0,3.0,3.2,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,2,True,False,1,True,4.0,1.0,4.0,1.0,4.333333333333333,0.5773502691896257,4.0,1.0,4.0,1.0,4.066666666666666,0.9018499505645787,Direct LLM,True,True
T012-B,T012,B,False,False,none,3.0,3.0,2.0,2.0,3.0,2.6,False,False,none,3.0,3.0,3.0,3.0,3.0,3.0,False,False,incomplete_answer,3.0,3.0,2.0,2.0,3.0,2.6,0,False,True,0,False,3.0,0.0,3.0,0.0,2.3333333333333335,0.5773502691896257,2.3333333333333335,0.5773502691896257,3.0,0.0,2.7333333333333334,0.23094010767585024,Manager Without Recovery,True,False
T012-C,T012,C,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,True,False,none,5.0,5.0,3.0,3.0,5.0,4.2,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,2,True,False,1,True,4.0,1.7320508075688772,4.0,1.7320508075688772,3.0,1.0,3.0,1.0,4.0,1.7320508075688772,3.6,1.4,Full Manager,True,True
T012-D,T012,D,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,3,True,True,0,False,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,4.6,0.0,Basic Tool Use,True,True
T013-A,T013,A,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,Full Manager,True,True
T013-B,T013,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T013-C,T013,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,5.0,0.0,4.866666666666666,0.23094010767585052,Manager Without Recovery,True,True
T013-D,T013,D,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Basic Tool Use,True,True
T014-A,T014,A,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,0,False,True,3,True,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,Manager Without Recovery,True,False
T014-B,T014,B,False,True,non_answer,1.0,1.0,1.0,1.0,1.0,1.0,False,True,non_answer,1.0,1.0,1.0,1.0,1.0,1.0,False,True,non_answer,1.0,1.0,1.0,1.0,1.0,1.0,0,False,True,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Full Manager,True,False
T014-C,T014,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,4.0,5.0,5.0,4.0,4.0,4.4,True,False,none,4.0,5.0,5.0,5.0,4.0,4.6,3,True,True,0,False,4.333333333333333,0.5773502691896257,5.0,0.0,5.0,0.0,4.666666666666667,0.5773502691896257,4.333333333333333,0.5773502691896257,4.666666666666667,0.3055050463303892,Direct LLM,True,True
T014-D,T014,D,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,False,False,none,4.0,4.0,3.0,4.0,3.0,3.6,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,2,True,False,0,False,4.0,0.0,4.0,0.0,3.6666666666666665,0.5773502691896257,4.0,0.0,3.6666666666666665,0.5773502691896257,3.8666666666666667,0.23094010767585024,Basic Tool Use,True,True
T015-A,T015,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,False,False,none,3.0,3.0,3.0,3.0,3.0,3.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,2,True,False,0,False,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,Manager Without Recovery,True,True
T015-B,T015,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,False,True,incomplete_answer,3.0,3.0,3.0,3.0,3.0,3.0,2,True,False,1,True,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.0,1.0,4.0,1.0,4.333333333333333,1.1547005383792515,4.2,1.058300524425836,Full Manager,True,True
T015-C,T015,C,True,False,none,5.0,4.0,4.0,4.0,4.0,4.2,True,False,none,5.0,4.0,4.0,4.0,4.0,4.2,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.466666666666667,0.4618802153517005,Basic Tool Use,True,True
T015-D,T015,D,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T016-A,T016,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T016-B,T016,B,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,irrelevant_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,non_answer,2.0,1.0,2.0,1.0,1.0,1.4,0,False,True,3,True,2.0,0.0,1.6666666666666667,0.5773502691896257,2.0,0.0,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896257,1.8,0.3464101615137755,Manager Without Recovery,True,False
T016-C,T016,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Basic Tool Use,True,True
T016-D,T016,D,False,True,non_answer,1.0,1.0,1.0,1.0,1.0,1.0,False,True,non_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,irrelevant_answer,1.0,1.0,1.0,1.0,1.0,1.0,0,False,True,3,True,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,Full Manager,True,False
T017-A,T017,A,False,True,non_answer,1.0,1.0,1.0,1.0,1.0,1.0,False,True,incomplete_answer,3.0,3.0,3.0,3.0,3.0,3.0,False,True,irrelevant_answer,2.0,2.0,2.0,2.0,2.0,2.0,0,False,True,3,True,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,Full Manager,True,False
T017-B,T017,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T017-C,T017,C,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,4.0,5.0,5.0,4.0,4.0,4.4,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,3,True,True,0,False,4.0,0.0,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.0,0.0,4.0,0.0,4.133333333333334,0.23094010767585052,Basic Tool Use,True,True
