test_id,learner_id,category,question,expected_tools,recovery_test,status,provider_status,return_code,selected_tools,workflow_status,validation_status,recovery_used,attempts,final_answer_generated,memory_updated,report_json,trace_json,trace_paths,log_path,notes
T027,article_no_recovery_T027,computation_verification,"Compute the output size of a convolution with input 10x10, kernel 5x5, stride 1, padding 0.",CalculatorTool,No,ok,available,0,RAGTool;CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T027_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T027_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T027_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T027_no_recovery_round01_TT-614c05dc_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T027_no_recovery_round02_TT-ec269415_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T027_no_recovery_round03_TT-6a30d6b5_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T027_no_recovery_round04_TT-82de8516_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T027_attempt_1.log,Full manager execution.
T028,article_no_recovery_T028,computation_verification,"Compute the output size of a convolution with input 8x8, kernel 3x3, stride 1, padding 1.",CalculatorTool,No,ok,available,0,RAGTool;CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T028_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T028_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T028_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T028_no_recovery_round01_TT-3044b6f5_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T028_no_recovery_round02_TT-23222f5e_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T028_no_recovery_round03_TT-f81f0426_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T028_attempt_1.log,Full manager execution.
T029,article_no_recovery_T029,computation_verification,Can a 2x3 matrix be multiplied by a 3x2 matrix?,MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T029_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T029_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T029_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T029_no_recovery_round01_TT-2dd1fd12_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T029_no_recovery_round02_TT-f7abeb51_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T029_attempt_1.log,Full manager execution.
T030,article_no_recovery_T030,computation_verification,Can a 3x2 matrix be multiplied by a 3x3 matrix?,MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T030_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T030_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T030_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T030_no_recovery_round01_TT-f3927cb3_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T030_no_recovery_round02_TT-d15be457_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T030_attempt_1.log,Full manager execution.
T031,article_no_recovery_T031,computation_verification,"Multiply the matrices [[1,2],[3,4]] and [[5,6],[7,8]].",MatrixComputationTool,No,ok,available,0,MatrixComputationTool;RAGTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T031_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T031_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T031_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T031_no_recovery_round01_TT-eb6474a0_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T031_no_recovery_round02_TT-d3d539b9_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T031_no_recovery_round03_TT-8b023a69_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T031_attempt_1.log,Full manager execution.
T032,article_no_recovery_T032,computation_verification,"Compute the first entry of the product [[1,2],[3,4]] times [[5,6],[7,8]].",MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T032_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T032_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T032_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T032_no_recovery_round01_TT-c8491b0b_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T032_no_recovery_round02_TT-6a8f5548_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T032_no_recovery_round03_TT-f4a3b18b_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T032_attempt_1.log,Full manager execution.
T033,article_no_recovery_T033_infra_retry_2,computation_verification,"Verify whether [[1,0],[0,1]] acts as an identity matrix when multiplied by [[3,4],[5,6]].",MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T033_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T033_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T033_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T033_no_recovery_round01_TT-4cf2710a_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T033_no_recovery_round02_TT-dd2d2d7e_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T033_no_recovery_round03_TT-7c4e3f67_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T033_attempt_2.log,Full manager execution.
T034,article_no_recovery_T034_infra_retry_2,computation_verification,"Compute one valid convolution step using input [[1,2,3],[4,5,6],[7,8,9]] and kernel [[1,0],[0,1]].",MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T034_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T034_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T034_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T034_no_recovery_round01_TT-3b9d04ad_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T034_no_recovery_round02_TT-e235b566_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T034_no_recovery_round03_TT-cc30324b_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T034_no_recovery_round04_TT-1a4bde95_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T034_attempt_2.log,Full manager execution.
T035,article_no_recovery_T035,computation_verification,"Compute the top-left convolution value for input [[1,2,3],[4,5,6],[7,8,9]] with kernel [[1,0],[0,-1]].",MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T035_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_round01_TT-278400f5_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_round02_TT-d56a2326_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_round03_TT-2476ca54_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_round04_TT-56110098_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T035_no_recovery_round05_TT-94fb9052_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T035_attempt_1.log,Full manager execution.
T036,article_no_recovery_T036,computation_verification,Check whether a 2x2 kernel can slide over a 3x3 matrix in valid convolution.,MatrixComputationTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T036_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T036_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T036_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T036_no_recovery_round01_TT-8e1a6266_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T036_no_recovery_round02_TT-e4d9327b_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T036_no_recovery_round03_TT-3ca08ded_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T036_attempt_1.log,Full manager execution.
