test_id,category,question,expected_tools,selected_tools,workflow_status,validation_status,recovery_used,attempts,trace_path,trace_paths,report_path,memory_updated,final_answer_generated,notes
T033,computation_verification,"Verify whether [[1,0],[0,1]] acts as an identity matrix when multiplied by [[3,4],[5,6]].",MatrixComputationTool,RAGTool;MatrixComputationTool,validated,valid,Yes,3,evaluation/traces/T033_trace.json,evaluation/traces/T033_round01_TT-1453cdcf_trace.json;evaluation/traces/T033_round02_TT-6478ccb5_trace.json;evaluation/traces/T033_round03_TT-52fe690b_trace.json,evaluation/runs/T033_full_manager_report.json,Yes,Yes,Full manager execution.
T035,computation_verification,"Compute the top-left convolution value for input [[1,2,3],[4,5,6],[7,8,9]] with kernel [[1,0],[0,-1]].",MatrixComputationTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T035_trace.json,evaluation/traces/T035_round01_TT-2db084c5_trace.json;evaluation/traces/T035_round02_TT-3e9a752d_trace.json;evaluation/traces/T035_round03_TT-1c90ba8b_trace.json;evaluation/traces/T035_round04_TT-b6ab9886_trace.json;evaluation/traces/T035_round05_TT-f622fd28_trace.json,evaluation/runs/T035_full_manager_report.json,Yes,Yes,Full manager execution.
T039,computation_verification,"Verify the result of multiplying row [1,2] by column [5,7].",MatrixComputationTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T039_trace.json,evaluation/traces/T039_round01_TT-d5ffe25b_trace.json;evaluation/traces/T039_round02_TT-ffdf5f53_trace.json;evaluation/traces/T039_round03_TT-ea1921bf_trace.json,evaluation/runs/T039_full_manager_report.json,Yes,Yes,Full manager execution.
T041,visual_step_by_step,Visualize matrix multiplication with a small 2x2 example.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;MatrixComputationTool;VisualMatrixTool,validated,valid,No,1,evaluation/traces/T041_trace.json,evaluation/traces/T041_round01_TT-8665ef1d_trace.json;evaluation/traces/T041_round02_TT-7696e796_trace.json,evaluation/runs/T041_full_manager_report.json,Yes,Yes,Full manager execution.
T043,visual_step_by_step,Show how the first entry of a matrix product is computed visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;CalculatorTool,fallback,invalid,Yes,3,evaluation/traces/T043_trace.json,evaluation/traces/T043_round01_TT-49292e49_trace.json;evaluation/traces/T043_round02_TT-d1c08d92_trace.json,evaluation/runs/T043_full_manager_report.json,Yes,Yes,Full manager execution.
T045,visual_step_by_step,Visualize convolution using a 3x3 input and a 2x2 kernel.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;MatrixComputationTool;VisualMatrixTool,validated,valid,No,1,evaluation/traces/T045_trace.json,evaluation/traces/T045_round01_TT-4f1ad917_trace.json;evaluation/traces/T045_round02_TT-c9e6111f_trace.json,evaluation/runs/T045_full_manager_report.json,Yes,Yes,Full manager execution.
T047,visual_step_by_step,Illustrate stride 1 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;MatrixComputationTool;VisualMatrixTool,validated,valid,No,1,evaluation/traces/T047_trace.json,evaluation/traces/T047_round01_TT-6bc18719_trace.json;evaluation/traces/T047_round02_TT-f730c160_trace.json,evaluation/runs/T047_full_manager_report.json,Yes,Yes,Full manager execution.
T050,visual_step_by_step,Show how a filter detects a vertical edge in a simple image matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool,validated,valid,Yes,3,evaluation/traces/T050_trace.json,evaluation/traces/T050_round01_TT-11402118_trace.json;evaluation/traces/T050_round02_TT-f7655421_trace.json,evaluation/runs/T050_full_manager_report.json,Yes,Yes,Full manager execution.
T052,visual_step_by_step,Explain convolution visually without calling it matrix multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;MatrixComputationTool,fallback,invalid,Yes,3,evaluation/traces/T052_trace.json,evaluation/traces/T052_round01_TT-dd5fd8d6_trace.json;evaluation/traces/T052_round02_TT-225f431b_trace.json,evaluation/runs/T052_full_manager_report.json,Yes,Yes,Full manager execution.
T054,visual_step_by_step,Visualize a dot product as part of matrix multiplication.,RAGTool;VisualMatrixTool;MatrixComputationTool,MatrixComputationTool;VisualMatrixTool;RAGTool,validated,valid,Yes,2,evaluation/traces/T054_trace.json,evaluation/traces/T054_round01_TT-8b23ad89_trace.json;evaluation/traces/T054_round02_TT-5b34970b_trace.json,evaluation/runs/T054_full_manager_report.json,Yes,Yes,Full manager execution.
T056,visual_step_by_step,Show a step-by-step visual explanation of valid convolution.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;MatrixComputationTool;VisualMatrixTool,validated,valid,No,1,evaluation/traces/T056_trace.json,evaluation/traces/T056_round01_TT-456b6c04_trace.json;evaluation/traces/T056_round02_TT-8ebb270c_trace.json,evaluation/runs/T056_full_manager_report.json,Yes,Yes,Full manager execution.
T058,visual_step_by_step,Use a visual example to explain why a 2x3 matrix can multiply a 3x2 matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,RAGTool;MatrixComputationTool,validated,valid,Yes,3,evaluation/traces/T058_trace.json,evaluation/traces/T058_round01_TT-8a5056f7_trace.json;evaluation/traces/T058_round02_TT-53675067_trace.json,evaluation/runs/T058_full_manager_report.json,Yes,Yes,Full manager execution.
