system_name,test_id,category,category_display,question,expected_tools,initial_selected_tools,initial_selection_error_class,initial_missing_tools,initial_extra_tools,final_selected_tools,final_selection_error_class,final_missing_tools,final_extra_tools,final_plan_execution_success,expected_tool_fulfillment,majority_pass,mean_overall_score,any_critical_error
Basic Tool Use,T021,computation_verification,Computation / Verification,What is 12 times 8?,CalculatorTool,RAGTool,mixed_missing_and_extra,CalculatorTool,RAGTool,RAGTool,mixed_missing_and_extra,CalculatorTool,RAGTool,Yes,No,False,3.2,False
Basic Tool Use,T022,computation_verification,Computation / Verification,Calculate 45 plus 37.,CalculatorTool,MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,False,1.0,True
Basic Tool Use,T023,computation_verification,Computation / Verification,Calculate 144 divided by 12.,CalculatorTool,MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,False,1.7333333333333334,True
Basic Tool Use,T024,computation_verification,Computation / Verification,Calculate 7 squared plus 3 squared.,CalculatorTool,MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,True,4.866666666666666,False
Basic Tool Use,T025,computation_verification,Computation / Verification,"Compute the output size of a valid convolution with input 5x5, kernel 3x3, stride 1, padding 0.",CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,True,5.0,False
Basic Tool Use,T026,computation_verification,Computation / Verification,"Compute the output size of a convolution with input 7x7, kernel 3x3, stride 2, padding 1.",CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,True,5.0,False
Basic Tool Use,T027,computation_verification,Computation / Verification,"Compute the output size of a convolution with input 10x10, kernel 5x5, stride 1, padding 0.",CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,True,5.0,False
Basic Tool Use,T028,computation_verification,Computation / Verification,"Compute the output size of a convolution with input 8x8, kernel 3x3, stride 1, padding 1.",CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,False,3.2666666666666666,True
Basic Tool Use,T031,computation_verification,Computation / Verification,"Multiply the matrices [[1,2],[3,4]] and [[5,6],[7,8]].",MatrixComputationTool,RAGTool,mixed_missing_and_extra,MatrixComputationTool,RAGTool,RAGTool,mixed_missing_and_extra,MatrixComputationTool,RAGTool,No,No,False,1.0,True
Basic Tool Use,T034,computation_verification,Computation / Verification,"Compute one valid convolution step using input [[1,2,3],[4,5,6],[7,8,9]] and kernel [[1,0],[0,1]].",MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,No,No,True,4.866666666666666,False
Basic Tool Use,T035,computation_verification,Computation / Verification,"Compute the top-left convolution value for input [[1,2,3],[4,5,6],[7,8,9]] with kernel [[1,0],[0,-1]].",MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,No,No,False,1.8,True
Basic Tool Use,T036,computation_verification,Computation / Verification,Check whether a 2x2 kernel can slide over a 3x3 matrix in valid convolution.,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,No,No,False,3.2666666666666666,True
Basic Tool Use,T037,computation_verification,Computation / Verification,Compute how many valid 2x2 convolution windows exist in a 3x3 matrix.,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,RAGTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,RAGTool,No,No,False,1.9333333333333331,True
Basic Tool Use,T038,computation_verification,Computation / Verification,Compute how many valid 3x3 convolution windows exist in a 5x5 matrix.,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,RAGTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,RAGTool,No,No,False,2.6666666666666665,True
Basic Tool Use,T041,visual_step_by_step,Visual Step-by-Step,Visualize matrix multiplication with a small 2x2 example.,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,No,No,True,5.0,False
Basic Tool Use,T042,visual_step_by_step,Visual Step-by-Step,Show matrix multiplication step by step using row-by-column dot products.,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,No,No,True,5.0,False
Basic Tool Use,T043,visual_step_by_step,Visual Step-by-Step,Show how the first entry of a matrix product is computed visually.,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,No,No,False,1.8,True
Basic Tool Use,T047,visual_step_by_step,Visual Step-by-Step,Illustrate stride 1 in a convolution operation.,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,Yes,No,False,3.0,True
Basic Tool Use,T048,visual_step_by_step,Visual Step-by-Step,Illustrate stride 2 in a convolution operation.,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,Yes,No,False,2.8,True
Basic Tool Use,T049,visual_step_by_step,Visual Step-by-Step,Show the difference between padding and no padding visually.,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,Yes,No,False,2.2666666666666666,True
Basic Tool Use,T053,visual_step_by_step,Visual Step-by-Step,Show why kernel sliding is different from row-by-column multiplication.,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,No,No,True,4.066666666666666,False
Basic Tool Use,T054,visual_step_by_step,Visual Step-by-Step,Visualize a dot product as part of matrix multiplication.,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,No,No,True,5.0,False
Basic Tool Use,T056,visual_step_by_step,Visual Step-by-Step,Show a step-by-step visual explanation of valid convolution.,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,Yes,No,False,2.0,True
Basic Tool Use,T057,visual_step_by_step,Visual Step-by-Step,Show a step-by-step visual explanation of matrix multiplication dimensions.,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,No,No,True,4.866666666666666,False
Basic Tool Use,T061,code_related,Code-Related,Write Python code to multiply two 2x2 matrices without NumPy.,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool,unnecessary_extra_tools,,MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,unnecessary_extra_tools,,MatrixComputationTool,No,Yes,False,1.8666666666666667,True
Basic Tool Use,T063,code_related,Code-Related,Write Python code to check whether two matrices can be multiplied.,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool,missing_expected_tools,MatrixComputationTool,,CodeSandboxTool,missing_expected_tools,MatrixComputationTool,,Yes,No,True,4.4,False
Basic Tool Use,T064,code_related,Code-Related,Write Python code for a simple 2D valid convolution.,CodeSandboxTool,CodeSandboxTool;RAGTool,unnecessary_extra_tools,,RAGTool,CodeSandboxTool;RAGTool,unnecessary_extra_tools,,RAGTool,Yes,Yes,True,3.733333333333333,True
Basic Tool Use,T065,code_related,Code-Related,Write Python code to compute convolution output size.,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool,No,No,True,5.0,False
Basic Tool Use,T066,code_related,Code-Related,Write a small NumPy example explaining matrix multiplication.,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool;RAGTool,No,Yes,False,2.1333333333333333,True
Basic Tool Use,T067,code_related,Code-Related,Write a small NumPy example explaining 2D convolution.,CodeSandboxTool,CodeSandboxTool;RAGTool,unnecessary_extra_tools,,RAGTool,CodeSandboxTool;RAGTool,unnecessary_extra_tools,,RAGTool,Yes,Yes,True,5.0,False
Basic Tool Use,T068,code_related,Code-Related,Debug this explanation in code: the kernel is added to the matrix instead of multiplied element-wise.,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,Yes,False,2.0,True
Basic Tool Use,T071,code_related,Code-Related,Write Python code that prints each valid convolution window in a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,No,No,True,4.8,False
Basic Tool Use,T072,code_related,Code-Related,Explain this Python mistake: using A + B instead of A @ B for matrix multiplication.,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,unnecessary_extra_tools,,MatrixComputationTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,unnecessary_extra_tools,,MatrixComputationTool;TraceSearchTool,No,No,False,2.933333333333333,True
Basic Tool Use,T073,code_related,Code-Related,Explain this Python mistake: using matrix multiplication when the question asks for convolution.,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,unnecessary_extra_tools,,MatrixComputationTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,unnecessary_extra_tools,,MatrixComputationTool;TraceSearchTool,No,No,True,4.333333333333333,False
Basic Tool Use,T074,code_related,Code-Related,"Write Python code to compute the dot product of [1,2] and [5,7].",CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,True,4.8,False
Basic Tool Use,T075,code_related,Code-Related,Write Python code to apply a 2x2 kernel to the top-left window of a 3x3 matrix.,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,RAGTool,No,No,False,2.466666666666667,True
Basic Tool Use,T076,code_related,Code-Related,Write Python code to compare valid convolution output sizes for stride 1 and stride 2.,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,False,2.533333333333333,True
Basic Tool Use,T077,code_related,Code-Related,Write Python code that explains matrix dimensions before multiplying matrices.,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,Yes,True,4.0,False
Basic Tool Use,T078,code_related,Code-Related,"Write Python code that validates input size, kernel size, stride, and padding for convolution.",CalculatorTool;CodeSandboxTool,CodeSandboxTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,RAGTool;VisualMatrixTool,CodeSandboxTool;RAGTool;VisualMatrixTool,mixed_missing_and_extra,CalculatorTool,RAGTool;VisualMatrixTool,Yes,No,True,4.2,False
Basic Tool Use,T079,code_related,Code-Related,Write Python code to generate a simple text-based visualization of kernel sliding.,CodeSandboxTool;VisualMatrixTool,CodeSandboxTool;RAGTool;VisualMatrixTool,unnecessary_extra_tools,,RAGTool,CodeSandboxTool;RAGTool;VisualMatrixTool,unnecessary_extra_tools,,RAGTool,Yes,Yes,True,4.0,False
Basic Tool Use,T082,recovery_personalization_trace,Recovery / Personalization / Trace,Review my previous mistake about convolution output size and explain it again.,CalculatorTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,MatrixComputationTool;RAGTool;TraceSearchTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,True,4.533333333333333,False
Basic Tool Use,T084,recovery_personalization_trace,Recovery / Personalization / Trace,I already understand kernels. Explain stride without repeating the kernel definition too much.,RAGTool;TraceSearchTool,RAGTool;VisualMatrixTool,mixed_missing_and_extra,TraceSearchTool,VisualMatrixTool,RAGTool;VisualMatrixTool,mixed_missing_and_extra,TraceSearchTool,VisualMatrixTool,Yes,No,True,4.866666666666666,False
Basic Tool Use,T085,recovery_personalization_trace,Recovery / Personalization / Trace,I struggle with matrix dimensions. Explain matrix multiplication using a simpler example.,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,TraceSearchTool;VisualMatrixTool,MatrixComputationTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,TraceSearchTool;VisualMatrixTool,MatrixComputationTool,No,No,True,4.733333333333333,False
Basic Tool Use,T086,recovery_personalization_trace,Recovery / Personalization / Trace,I confused matrix multiplication with convolution before. Correct that misunderstanding.,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,TraceSearchTool;VisualMatrixTool,MatrixComputationTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,TraceSearchTool;VisualMatrixTool,MatrixComputationTool,No,No,False,2.533333333333333,True
Basic Tool Use,T087,recovery_personalization_trace,Recovery / Personalization / Trace,Give me a simpler explanation than the previous one about padding.,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,RAGTool;TraceSearchTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,Yes,Yes,False,2.2666666666666666,True
Basic Tool Use,T088,recovery_personalization_trace,Recovery / Personalization / Trace,Explain convolution without code because I found the code confusing.,RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool,mixed_missing_and_extra,TraceSearchTool,CodeSandboxTool,CodeSandboxTool;RAGTool,mixed_missing_and_extra,TraceSearchTool,CodeSandboxTool,Yes,No,True,5.0,False
Basic Tool Use,T089,recovery_personalization_trace,Recovery / Personalization / Trace,Explain matrix multiplication again but avoid convolution examples.,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,mixed_missing_and_extra,VisualMatrixTool,MatrixComputationTool,MatrixComputationTool;RAGTool;TraceSearchTool,mixed_missing_and_extra,VisualMatrixTool,MatrixComputationTool,No,No,False,2.6666666666666665,True
Basic Tool Use,T090,recovery_personalization_trace,Recovery / Personalization / Trace,Use my previous learning trace to adapt an explanation about convolution output size.,CalculatorTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,MatrixComputationTool;RAGTool;TraceSearchTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,True,4.866666666666666,False
Basic Tool Use,T092,recovery_personalization_trace,Recovery / Personalization / Trace,"Explain padding and stride, but force the first attempt without grounding.",RAGTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,Yes,Yes,True,3.6666666666666665,True
Basic Tool Use,T093,recovery_personalization_trace,Recovery / Personalization / Trace,"Explain visually how a kernel moves, but force the first attempt without grounding.",MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,RAGTool;VisualMatrixTool,missing_expected_tools,MatrixComputationTool,,Yes,No,False,2.7333333333333334,True
Basic Tool Use,T094,recovery_personalization_trace,Recovery / Personalization / Trace,"Explain convolution output size, but force the first attempt without grounding.",CalculatorTool;RAGTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,CalculatorTool,MatrixComputationTool,No,No,True,4.8,False
Basic Tool Use,T097,recovery_personalization_trace,Recovery / Personalization / Trace,"Visualize matrix multiplication, but force the first attempt to miss the visual support.",MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,MatrixComputationTool;VisualMatrixTool,missing_expected_tools,RAGTool,,No,No,True,5.0,False
Basic Tool Use,T099,recovery_personalization_trace,Recovery / Personalization / Trace,"Explain the difference between convolution and matrix multiplication, but force a topic-mismatch recovery.",RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,VisualMatrixTool,MatrixComputationTool,MatrixComputationTool;RAGTool,mixed_missing_and_extra,VisualMatrixTool,MatrixComputationTool,No,No,False,2.333333333333333,True
Manager Without Recovery,T001,conceptual_grounded,Conceptual / Grounded,Explain convolution in simple terms for a beginner.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,5.0,False
Manager Without Recovery,T002,conceptual_grounded,Conceptual / Grounded,What is a convolution kernel in image processing?,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,5.0,False
Manager Without Recovery,T003,conceptual_grounded,Conceptual / Grounded,Explain the difference between a filter and a feature map.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,False,2.0,True
Manager Without Recovery,T004,conceptual_grounded,Conceptual / Grounded,Why is convolution useful in convolutional neural networks?,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,4.533333333333333,False
Manager Without Recovery,T005,conceptual_grounded,Conceptual / Grounded,Explain padding in convolution using simple language.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,False,2.533333333333333,True
Manager Without Recovery,T006,conceptual_grounded,Conceptual / Grounded,Explain stride in convolution using simple language.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,False,2.8,True
Manager Without Recovery,T007,conceptual_grounded,Conceptual / Grounded,Explain the difference between padding and stride.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,False,1.6666666666666667,True
Manager Without Recovery,T008,conceptual_grounded,Conceptual / Grounded,What does valid convolution mean?,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,4.333333333333333,False
Manager Without Recovery,T009,conceptual_grounded,Conceptual / Grounded,What does same convolution mean?,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,4.666666666666666,False
Manager Without Recovery,T010,conceptual_grounded,Conceptual / Grounded,Explain why a convolution kernel slides over an input matrix.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,False,3.733333333333333,False
Manager Without Recovery,T011,conceptual_grounded,Conceptual / Grounded,Explain matrix multiplication in simple terms.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,Yes,True,5.0,False
Manager Without Recovery,T012,conceptual_grounded,Conceptual / Grounded,What is a row-by-column dot product?,RAGTool,MatrixComputationTool,mixed_missing_and_extra,RAGTool,MatrixComputationTool,MatrixComputationTool,mixed_missing_and_extra,RAGTool,MatrixComputationTool,Yes,No,False,2.7333333333333334,False
Manager Without Recovery,T013,conceptual_grounded,Conceptual / Grounded,Explain the difference between matrix multiplication and convolution.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,4.866666666666666,False
Manager Without Recovery,T014,conceptual_grounded,Conceptual / Grounded,Why is matrix multiplication not the same as sliding a kernel?,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,No,False,2.0,True
Manager Without Recovery,T015,conceptual_grounded,Conceptual / Grounded,Explain why matrix dimensions matter in matrix multiplication.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,Yes,Yes,True,4.333333333333333,False
Manager Without Recovery,T025,computation_verification,Computation / Verification,"Compute the output size of a valid convolution with input 5x5, kernel 3x3, stride 1, padding 0.",CalculatorTool,CalculatorTool;RAGTool,unnecessary_extra_tools,,RAGTool,CalculatorTool;RAGTool,unnecessary_extra_tools,,RAGTool,Yes,Yes,True,5.0,False
